,Warehouse_Block,Shipment_Mode,Customer_Calls,Calls_Intensity,Customer_Rating,Rating_Satisfaction,Product_Cost,Cost_Segment,Prior_Purchases,Customer_Segment,Product_Importance,Gender,Product_Discount,Discount_Segment,Product_Weight,Weight_Segment,Delivery_Status
64,C,Ship,4,Moderate,5,High Rating - Satisfied,261,Expensive,2,New,High,Male,49,40-52(%),3045,Medium,Not On Time
65,E,Ship,3,Few,2,Low Rating - Dissatisfied,202,Standard,3,New,Low,Male,49,40-52(%),2881,Medium,Not On Time
66,D,Ship,3,Few,2,Low Rating - Dissatisfied,109,Cheap,3,New,Medium,Female,15,14-26(%),1710,Light,Not On Time
67,E,Ship,3,Few,3,Low Rating - Dissatisfied,158,Cheap,3,New,Low,Female,6,1-13(%),1878,Medium,Not On Time
68,A,Ship,4,Moderate,2,Low Rating - Dissatisfied,231,Standard,4,Regular,Medium,Female,6,1-13(%),2512,Medium,Not On Time
69,B,Ship,3,Few,5,High Rating - Satisfied,206,Standard,3,New,Medium,Male,39,27-39(%),2929,Medium,Not On Time
70,C,Ship,5,Moderate,1,Low Rating - Dissatisfied,187,Standard,4,Regular,High,Male,14,14-26(%),3849,Medium,Not On Time
71,E,Ship,5,Moderate,5,High Rating - Satisfied,230,Standard,2,New,Low,Female,2,1-13(%),2229,Medium,Not On Time
72,D,Ship,5,Moderate,5,High Rating - Satisfied,232,Standard,3,New,Medium,Female,33,27-39(%),2998,Medium,Not On Time
73,E,Ship,4,Moderate,5,High Rating - Satisfied,215,Standard,3,New,Medium,Female,21,14-26(%),3984,Medium,Not On Time
74,A,Ship,6,Frequent,1,Low Rating - Dissatisfied,238,Standard,6,Regular,Low,Female,13,1-13(%),2442,Medium,Not On Time
75,B,Ship,4,Moderate,1,Low Rating - Dissatisfied,266,Expensive,3,New,Low,Female,23,14-26(%),3775,Medium,Not On Time
76,C,Ship,2,Few,3,Low Rating - Dissatisfied,158,Cheap,2,New,Medium,Female,36,27-39(%),1788,Light,Not On Time
77,E,Ship,3,Few,3,Low Rating - Dissatisfied,113,Cheap,3,New,Low,Female,43,40-52(%),1518,Light,Not On Time
78,D,Ship,3,Few,4,High Rating - Satisfied,223,Standard,3,New,Low,Male,18,14-26(%),3959,Medium,Not On Time
79,E,Ship,3,Few,5,High Rating - Satisfied,257,Expensive,2,New,Medium,Female,56,53-65(%),3711,Medium,Not On Time
80,A,Ship,3,Few,4,High Rating - Satisfied,180,Standard,2,New,Medium,Female,49,40-52(%),1942,Medium,Not On Time
81,B,Ship,2,Few,5,High Rating - Satisfied,132,Cheap,3,New,Low,Male,18,14-26(%),1759,Light,Not On Time
82,C,Ship,4,Moderate,4,High Rating - Satisfied,217,Standard,3,New,High,Female,26,14-26(%),2875,Medium,Not On Time
83,E,Ship,5,Moderate,5,High Rating - Satisfied,162,Cheap,3,New,High,Female,31,27-39(%),1364,Light,Not On Time
84,D,Ship,4,Moderate,5,High Rating - Satisfied,197,Standard,2,New,Medium,Female,40,40-52(%),2710,Medium,Not On Time
85,E,Ship,3,Few,4,High Rating - Satisfied,197,Standard,3,New,Medium,Male,13,1-13(%),2148,Medium,Not On Time
86,A,Ship,4,Moderate,1,Low Rating - Dissatisfied,185,Standard,2,New,Low,Male,44,40-52(%),2910,Medium,Not On Time
87,B,Ship,6,Frequent,2,Low Rating - Dissatisfied,278,Expensive,3,New,Medium,Female,3,1-13(%),2974,Medium,Not On Time
88,C,Ship,3,Few,3,Low Rating - Dissatisfied,229,Standard,3,New,Low,Male,49,40-52(%),2339,Medium,Not On Time
89,E,Ship,4,Moderate,1,Low Rating - Dissatisfied,186,Standard,4,Regular,Medium,Female,57,53-65(%),3880,Medium,Not On Time
90,D,Ship,5,Moderate,3,Low Rating - Dissatisfied,174,Standard,6,Regular,High,Female,41,40-52(%),1085,Light,Not On Time
91,E,Ship,5,Moderate,5,High Rating - Satisfied,286,Expensive,3,New,Low,Female,18,14-26(%),3163,Medium,Not On Time
92,A,Ship,4,Moderate,4,High Rating - Satisfied,175,Standard,2,New,Medium,Female,7,1-13(%),1188,Light,Not On Time
93,B,Ship,3,Few,3,Low Rating - Dissatisfied,219,Standard,3,New,Medium,Female,17,14-26(%),3387,Medium,Not On Time
94,C,Ship,4,Moderate,1,Low Rating - Dissatisfied,213,Standard,4,Regular,High,Female,35,27-39(%),2343,Medium,Not On Time
95,E,Ship,2,Few,3,Low Rating - Dissatisfied,235,Standard,3,New,Low,Male,57,53-65(%),2034,Medium,Not On Time
96,D,Ship,3,Few,3,Low Rating - Dissatisfied,149,Cheap,2,New,Medium,Male,18,14-26(%),1225,Light,Not On Time
97,E,Ship,4,Moderate,1,Low Rating - Dissatisfied,271,Expensive,2,New,Medium,Female,8,1-13(%),2401,Medium,Not On Time
98,A,Ship,3,Few,5,High Rating - Satisfied,144,Cheap,4,Regular,Medium,Male,5,1-13(%),1104,Light,Not On Time
99,B,Ship,4,Moderate,2,Low Rating - Dissatisfied,145,Cheap,2,New,Medium,Male,21,14-26(%),1617,Light,Not On Time
100,C,Ship,5,Moderate,3,Low Rating - Dissatisfied,143,Cheap,2,New,Medium,Male,59,53-65(%),1837,Light,Not On Time
101,E,Ship,5,Moderate,5,High Rating - Satisfied,227,Standard,4,Regular,Low,Male,53,53-65(%),2624,Medium,Not On Time
102,D,Ship,2,Few,1,Low Rating - Dissatisfied,213,Standard,3,New,Low,Male,29,27-39(%),2732,Medium,Not On Time
103,E,Ship,5,Moderate,1,Low Rating - Dissatisfied,144,Cheap,4,Regular,Low,Male,37,27-39(%),1658,Light,Not On Time
104,A,Ship,3,Few,3,Low Rating - Dissatisfied,218,Standard,3,New,Low,Male,3,1-13(%),2255,Medium,Not On Time
105,B,Ship,4,Moderate,2,Low Rating - Dissatisfied,144,Cheap,3,New,Medium,Male,59,53-65(%),1588,Light,Not On Time
106,C,Ship,3,Few,1,Low Rating - Dissatisfied,238,Standard,3,New,Low,Male,17,14-26(%),2624,Medium,Not On Time
107,E,Ship,4,Moderate,5,High Rating - Satisfied,216,Standard,3,New,High,Male,26,14-26(%),2053,Medium,Not On Time
108,D,Ship,4,Moderate,5,High Rating - Satisfied,238,Standard,3,New,High,Female,55,53-65(%),3257,Medium,Not On Time
109,E,Ship,4,Moderate,1,Low Rating - Dissatisfied,141,Cheap,3,New,Medium,Male,47,40-52(%),1250,Light,Not On Time
110,A,Road,3,Few,1,Low Rating - Dissatisfied,158,Cheap,2,New,Low,Male,2,1-13(%),1284,Light,Not On Time
111,B,Road,4,Moderate,2,Low Rating - Dissatisfied,239,Standard,3,New,Low,Female,65,53-65(%),3679,Medium,Not On Time
112,C,Road,4,Moderate,3,Low Rating - Dissatisfied,175,Standard,2,New,Low,Male,25,14-26(%),1816,Light,Not On Time
113,E,Road,3,Few,2,Low Rating - Dissatisfied,263,Expensive,3,New,Low,Male,41,40-52(%),2817,Medium,Not On Time
114,D,Road,3,Few,5,High Rating - Satisfied,168,Cheap,2,New,High,Male,50,40-52(%),1616,Light,Not On Time
115,E,Road,3,Few,4,High Rating - Satisfied,176,Standard,3,New,High,Male,36,27-39(%),1779,Light,Not On Time
116,A,Road,4,Moderate,1,Low Rating - Dissatisfied,150,Cheap,4,Regular,High,Male,60,53-65(%),1024,Light,Not On Time
117,B,Road,4,Moderate,3,Low Rating - Dissatisfied,265,Expensive,2,New,Medium,Female,31,27-39(%),2326,Medium,Not On Time
118,C,Road,2,Few,5,High Rating - Satisfied,263,Expensive,3,New,Low,Female,5,1-13(%),2947,Medium,Not On Time
119,E,Road,5,Moderate,1,Low Rating - Dissatisfied,145,Cheap,3,New,Low,Male,20,14-26(%),1387,Light,Not On Time
120,D,Road,4,Moderate,2,Low Rating - Dissatisfied,183,Standard,3,New,Low,Female,33,27-39(%),2741,Medium,Not On Time
121,E,Road,3,Few,3,Low Rating - Dissatisfied,205,Standard,3,New,Medium,Female,19,14-26(%),2167,Medium,Not On Time
122,A,Road,4,Moderate,2,Low Rating - Dissatisfied,160,Cheap,3,New,Low,Male,64,53-65(%),1714,Light,Not On Time
123,B,Road,3,Few,3,Low Rating - Dissatisfied,252,Expensive,2,New,Medium,Female,48,40-52(%),2102,Medium,Not On Time
124,C,Road,5,Moderate,5,High Rating - Satisfied,222,Standard,3,New,Low,Male,10,1-13(%),2280,Medium,Not On Time
125,E,Road,3,Few,3,Low Rating - Dissatisfied,203,Standard,2,New,Low,Male,25,14-26(%),3607,Medium,Not On Time
126,D,Road,4,Moderate,5,High Rating - Satisfied,220,Standard,3,New,Medium,Male,40,40-52(%),3516,Medium,Not On Time
127,E,Road,3,Few,3,Low Rating - Dissatisfied,147,Cheap,4,Regular,Low,Female,60,53-65(%),1722,Light,Not On Time
128,A,Road,4,Moderate,4,High Rating - Satisfied,200,Standard,4,Regular,Medium,Male,16,14-26(%),2060,Medium,Not On Time
129,B,Road,4,Moderate,5,High Rating - Satisfied,224,Standard,4,Regular,Medium,Male,21,14-26(%),2026,Medium,Not On Time
130,C,Road,3,Few,5,High Rating - Satisfied,179,Standard,2,New,Low,Female,17,14-26(%),1364,Light,Not On Time
131,E,Road,3,Few,4,High Rating - Satisfied,144,Cheap,3,New,Low,Male,50,40-52(%),1865,Medium,Not On Time
132,D,Flight,5,Moderate,2,Low Rating - Dissatisfied,247,Standard,3,New,Low,Male,17,14-26(%),3889,Medium,Not On Time
133,E,Flight,5,Moderate,4,High Rating - Satisfied,280,Expensive,6,Regular,Medium,Female,51,40-52(%),3582,Medium,Not On Time
134,A,Flight,3,Few,3,Low Rating - Dissatisfied,168,Cheap,2,New,Medium,Female,1,1-13(%),1829,Light,Not On Time
135,B,Flight,3,Few,5,High Rating - Satisfied,157,Cheap,3,New,Medium,Female,4,1-13(%),1889,Medium,Not On Time
136,C,Flight,3,Few,3,Low Rating - Dissatisfied,189,Standard,4,Regular,Medium,Female,51,40-52(%),2208,Medium,Not On Time
137,E,Flight,3,Few,5,High Rating - Satisfied,162,Cheap,2,New,Medium,Male,7,1-13(%),1739,Light,Not On Time
138,D,Flight,4,Moderate,1,Low Rating - Dissatisfied,207,Standard,5,Regular,Low,Male,48,40-52(%),2399,Medium,Not On Time
139,E,Flight,5,Moderate,1,Low Rating - Dissatisfied,237,Standard,2,New,Low,Female,10,1-13(%),3860,Medium,Not On Time
140,A,Flight,4,Moderate,4,High Rating - Satisfied,264,Expensive,3,New,High,Male,59,53-65(%),2020,Medium,Not On Time
141,B,Flight,5,Moderate,4,High Rating - Satisfied,149,Cheap,3,New,Low,Male,51,40-52(%),1645,Light,Not On Time
142,C,Flight,5,Moderate,5,High Rating - Satisfied,162,Cheap,3,New,Low,Male,41,40-52(%),1462,Light,Not On Time
143,E,Flight,2,Few,1,Low Rating - Dissatisfied,205,Standard,4,Regular,Medium,Female,63,53-65(%),2156,Medium,Not On Time
144,D,Flight,2,Few,1,Low Rating - Dissatisfied,158,Cheap,3,New,Medium,Female,51,40-52(%),1540,Light,Not On Time
145,E,Flight,2,Few,2,Low Rating - Dissatisfied,248,Standard,2,New,Low,Male,46,40-52(%),3707,Medium,Not On Time
146,A,Flight,3,Few,5,High Rating - Satisfied,191,Standard,3,New,Low,Male,23,14-26(%),3750,Medium,Not On Time
147,B,Flight,4,Moderate,3,Low Rating - Dissatisfied,146,Cheap,4,Regular,Medium,Female,24,14-26(%),1844,Medium,Not On Time
148,C,Flight,3,Few,3,Low Rating - Dissatisfied,135,Cheap,3,New,Low,Male,56,53-65(%),1490,Light,Not On Time
149,E,Flight,5,Moderate,1,Low Rating - Dissatisfied,149,Cheap,3,New,Low,Male,40,40-52(%),1062,Light,Not On Time
150,D,Flight,4,Moderate,4,High Rating - Satisfied,220,Standard,2,New,Medium,Female,7,1-13(%),2551,Medium,Not On Time
151,E,Flight,5,Moderate,3,Low Rating - Dissatisfied,98,Cheap,5,Regular,Medium,Male,44,40-52(%),1269,Light,Not On Time
152,A,Flight,3,Few,4,High Rating - Satisfied,97,Cheap,4,Regular,Low,Male,32,27-39(%),1238,Light,Not On Time
153,B,Flight,3,Few,3,Low Rating - Dissatisfied,183,Standard,2,New,Low,Male,53,53-65(%),3932,Medium,Not On Time
154,C,Ship,3,Few,3,Low Rating - Dissatisfied,162,Cheap,3,New,Medium,Female,8,1-13(%),1869,Medium,Not On Time
155,E,Ship,5,Moderate,1,Low Rating - Dissatisfied,114,Cheap,4,Regular,Low,Female,47,40-52(%),1443,Light,Not On Time
156,D,Ship,6,Frequent,3,Low Rating - Dissatisfied,275,Expensive,5,Regular,Low,Male,41,40-52(%),2491,Medium,Not On Time
157,E,Ship,3,Few,2,Low Rating - Dissatisfied,203,Standard,2,New,Medium,Female,39,27-39(%),3845,Medium,Not On Time
158,A,Ship,5,Moderate,5,High Rating - Satisfied,205,Standard,2,New,High,Male,65,53-65(%),3671,Medium,Not On Time
159,B,Ship,3,Few,3,Low Rating - Dissatisfied,149,Cheap,3,New,Low,Female,63,53-65(%),1946,Medium,Not On Time
160,C,Ship,2,Few,2,Low Rating - Dissatisfied,112,Cheap,4,Regular,Medium,Male,56,53-65(%),1138,Light,Not On Time
161,E,Ship,3,Few,1,Low Rating - Dissatisfied,207,Standard,3,New,Medium,Female,56,53-65(%),3482,Medium,Not On Time
162,D,Ship,4,Moderate,1,Low Rating - Dissatisfied,261,Expensive,4,Regular,Low,Female,58,53-65(%),3427,Medium,Not On Time
163,E,Ship,5,Moderate,2,Low Rating - Dissatisfied,274,Expensive,3,New,Medium,Male,6,1-13(%),3375,Medium,Not On Time
164,A,Ship,3,Few,5,High Rating - Satisfied,141,Cheap,2,New,Low,Male,52,40-52(%),1692,Light,Not On Time
165,B,Ship,3,Few,3,Low Rating - Dissatisfied,166,Cheap,4,Regular,Medium,Female,17,14-26(%),1498,Light,Not On Time
166,C,Ship,5,Moderate,2,Low Rating - Dissatisfied,141,Cheap,3,New,High,Female,34,27-39(%),1020,Light,Not On Time
167,E,Ship,4,Moderate,5,High Rating - Satisfied,152,Cheap,3,New,Low,Male,43,40-52(%),1709,Light,Not On Time
168,D,Ship,4,Moderate,2,Low Rating - Dissatisfied,250,Standard,3,New,Low,Female,53,53-65(%),2478,Medium,Not On Time
169,E,Ship,4,Moderate,3,Low Rating - Dissatisfied,161,Cheap,3,New,Medium,Female,28,27-39(%),1809,Light,Not On Time
170,A,Ship,4,Moderate,3,Low Rating - Dissatisfied,185,Standard,3,New,Medium,Female,10,1-13(%),2263,Medium,Not On Time
171,B,Ship,4,Moderate,4,High Rating - Satisfied,176,Standard,4,Regular,High,Female,52,40-52(%),1096,Light,Not On Time
172,C,Ship,3,Few,4,High Rating - Satisfied,148,Cheap,3,New,Low,Male,56,53-65(%),1550,Light,Not On Time
173,E,Ship,3,Few,2,Low Rating - Dissatisfied,270,Expensive,3,New,Low,Female,63,53-65(%),2751,Medium,Not On Time
174,D,Ship,3,Few,3,Low Rating - Dissatisfied,242,Standard,3,New,Low,Female,51,40-52(%),3935,Medium,Not On Time
175,E,Ship,4,Moderate,4,High Rating - Satisfied,150,Cheap,2,New,Medium,Male,3,1-13(%),1285,Light,Not On Time
176,A,Ship,4,Moderate,5,High Rating - Satisfied,192,Standard,3,New,High,Male,20,14-26(%),3872,Medium,Not On Time
177,B,Ship,4,Moderate,5,High Rating - Satisfied,116,Cheap,3,New,Medium,Male,54,53-65(%),1314,Light,Not On Time
178,C,Ship,3,Few,3,Low Rating - Dissatisfied,192,Standard,3,New,Medium,Female,2,1-13(%),3995,Medium,Not On Time
179,E,Ship,5,Moderate,5,High Rating - Satisfied,255,Expensive,4,Regular,Medium,Male,3,1-13(%),3440,Medium,Not On Time
180,D,Ship,4,Moderate,1,Low Rating - Dissatisfied,161,Cheap,7,Loyal,Medium,Female,18,14-26(%),1294,Light,Not On Time
181,E,Ship,4,Moderate,5,High Rating - Satisfied,157,Cheap,3,New,Low,Male,20,14-26(%),1487,Light,Not On Time
182,A,Ship,3,Few,2,Low Rating - Dissatisfied,164,Cheap,10,Loyal,High,Female,28,27-39(%),1940,Medium,Not On Time
183,B,Ship,3,Few,5,High Rating - Satisfied,162,Cheap,7,Loyal,Medium,Female,16,14-26(%),1052,Light,Not On Time
184,C,Ship,3,Few,3,Low Rating - Dissatisfied,146,Cheap,2,New,Low,Male,50,40-52(%),1486,Light,Not On Time
185,E,Ship,3,Few,2,Low Rating - Dissatisfied,209,Standard,3,New,Medium,Male,54,53-65(%),3001,Medium,Not On Time
186,D,Ship,5,Moderate,4,High Rating - Satisfied,134,Cheap,2,New,Medium,Female,55,53-65(%),1386,Light,Not On Time
187,E,Ship,2,Few,1,Low Rating - Dissatisfied,222,Standard,2,New,Medium,Male,5,1-13(%),3778,Medium,Not On Time
188,A,Ship,2,Few,5,High Rating - Satisfied,139,Cheap,3,New,Low,Female,27,27-39(%),1233,Light,Not On Time
189,B,Ship,2,Few,4,High Rating - Satisfied,134,Cheap,3,New,Low,Female,42,40-52(%),1415,Light,Not On Time
190,C,Ship,2,Few,5,High Rating - Satisfied,130,Cheap,3,New,Low,Male,16,14-26(%),1092,Light,Not On Time
191,E,Ship,2,Few,5,High Rating - Satisfied,133,Cheap,3,New,Low,Female,62,53-65(%),1596,Light,Not On Time
192,D,Ship,2,Few,4,High Rating - Satisfied,140,Cheap,3,New,Low,Female,7,1-13(%),1411,Light,Not On Time
193,E,Ship,2,Few,2,Low Rating - Dissatisfied,158,Cheap,3,New,Low,Male,28,27-39(%),1968,Medium,Not On Time
194,A,Ship,4,Moderate,2,Low Rating - Dissatisfied,270,Expensive,4,Regular,Low,Female,46,40-52(%),1736,Light,Not On Time
195,B,Ship,2,Few,5,High Rating - Satisfied,140,Cheap,3,New,Low,Female,30,27-39(%),1030,Light,Not On Time
196,C,Ship,2,Few,2,Low Rating - Dissatisfied,135,Cheap,3,New,Low,Male,15,14-26(%),1339,Light,Not On Time
197,E,Ship,2,Few,3,Low Rating - Dissatisfied,136,Cheap,3,New,Low,Female,19,14-26(%),1568,Light,Not On Time
198,D,Ship,2,Few,3,Low Rating - Dissatisfied,142,Cheap,3,New,Medium,Female,38,27-39(%),7640,Heavy,Not On Time
199,E,Ship,2,Few,2,Low Rating - Dissatisfied,154,Cheap,3,New,Medium,Male,38,27-39(%),7846,Heavy,Not On Time
200,A,Ship,2,Few,3,Low Rating - Dissatisfied,139,Cheap,3,New,Low,Male,9,1-13(%),1471,Light,Not On Time
201,B,Ship,2,Few,3,Low Rating - Dissatisfied,160,Cheap,3,New,Low,Female,43,40-52(%),1251,Light,Not On Time
202,C,Ship,2,Few,4,High Rating - Satisfied,134,Cheap,3,New,Low,Male,58,53-65(%),1067,Light,Not On Time
203,E,Ship,5,Moderate,3,Low Rating - Dissatisfied,161,Cheap,5,Regular,High,Male,48,40-52(%),1883,Medium,Not On Time
204,D,Ship,2,Few,5,High Rating - Satisfied,155,Cheap,3,New,Low,Male,23,14-26(%),1602,Light,Not On Time
205,E,Ship,2,Few,3,Low Rating - Dissatisfied,145,Cheap,3,New,Medium,Female,24,14-26(%),7588,Heavy,Not On Time
